Locationid,Location,LocPropertyType,LocProvince,LocPostal,LocDistrict,LocRegion,RegionName,Market,PopulationRank,FundraisingYear,cy_funds,cy_1_funds,cy_2_funds,change,target,cy_checkins,cy_1_checkins,cy_2_checkins,cy_contacts,cy_1_contacts,cy_2_contacts,cy_images,cy_1_images,cy_2_images,cy_notes,cy_1_notes,cy_2_notes
132373,9050,Unknown,AR,72716,Corporate,HO,Central,Little Rock-Springdale,3,2016,30003.35,20191,132876.83,0.485976425,0,0,0,0,0,0,0,0,0,0,0,0,0
130953,555,Buy More Supercenter,GA,31021,32,3,Southeast,Macon,1,2015,9397.61,5168.07,86974.7098,0.818398358,1,0,0,0,0,0,0,0,0,0,0,0,0
128009,1688,Buy More Supercenter,VA,23452,289,27,Northeast,Norfolk-Portsmouth,2,2016,44566.6833,57760.83,69605.9,-0.228427235,0,3,0,0,0,0,0,2,0,0,3,0,0
130952,554,Buy More,TX,78041,88,8,Central,San Antonio,2,2018,86974.7098,117078.6798,67877.3299,-0.257125978,0,7,6,0,0,1,0,9,16,0,7,4,0
130952,554,Buy More,TX,78041,88,8,Central,San Antonio,2,2017,117078.6798,67877.3299,67282.49,0.724856885,1,6,0,0,1,0,0,16,0,0,4,0,0
127269,1015,Buy More Supercenter,TX,79912,505,46,Central,El Paso,1,2018,24419.93,86747.0198,66960.61,-0.718492577,0,2,4,0,0,1,0,2,12,0,2,5,0
127571,1291,Buy More Supercenter,AZ,85710,367,46,West,Tucson,2,2016,27695.4067,63200.99,66277.78,-0.561788404,0,0,0,0,0,0,0,0,0,0,0,0,0
131605,6622,Member's Buy More,CA,95828,41,Western,West,Sacramento,3,2018,6388.5299,35227.4297,64765.5865,-0.818648992,0,1,3,2,1,0,0,0,2,9,1,1,1
127571,1291,Buy More Supercenter,AZ,85710,367,46,West,Tucson,2,2017,12627.66,27695.4067,63200.99,-0.544052191,0,0,0,0,1,0,0,0,0,0,0,0,0
131388,6333,Member's Buy More,ME,4401,20,Northeast,Northeast,Bangor,1,2018,38406.0294,50386.3598,59445.65,-0.237769318,0,15,18,15,0,0,1,21,38,27,2,8,3
128009,1688,Buy More Supercenter,VA,23452,289,27,Northeast,Norfolk-Portsmouth,2,2017,26085.0999,44566.6833,57760.83,-0.41469506,0,0,3,0,0,0,0,0,2,0,0,3,0
