ID,Hour_of_Day,Days_since_last_Checkin,Check_Ins,Contacts Created,Images Uploaded,Notes Written,Checkin_w_images,Checkin_w_Contact,Checkin_w_Note,Checkin_w_I_C,Checkin_w_C_N,Checkin_w_I_N,Checkin_w_All,Distance,FundraisingYear,day of week,day of month,% of Campaign,Campaign Day Funds,Past 1-3 avg,Past 3-6 avg,Future 0-3 avg,Change in past week,Running average,last week change from running,Percentile of Running,Percentile of Running by Market,Percentile of Past 1-3,Percentile of Past 1-3 by Market,Percentile of Past 3-6,Percentile of Past 3-6 by Market,Percentile of Past Week Change,Percentile of Past Week Change by market
182887-5-12-2017,12,4,1,2,2,1,1,1,1,1,1,1,1,1193.127887,2017,6,12,0.387096774,1580,1659.5,1953.333333,121.6666667,15.05479452,565.9090909,2.45167336,0.875,0.772,0.962,1,0.613,0.058,0.998,1
182887-5-15-2017,12,3,1,0,0,1,0,0,1,0,0,0,0,1193.127887,2017,2,15,0.483870968,1369,1323.25,1756.333333,1953.333333,-0.100853242,821,1.139261064,0.904,0.673,0.914,0.687,0.962,1,0.087,0
182887-5-18-2017,11,3,1,0,0,1,0,0,1,0,0,0,0,1193.127887,2017,5,18,0.580645161,1710,1013.25,1194.333333,1756.333333,-0.319984817,886.8823529,0.346664898,0.912,0.776,0.908,0.705,0.913,0.705,0.211,0.588
182887-5-22-2017,12,4,1,0,1,0,1,0,0,0,0,1,0,1193.127887,2017,2,22,0.709677419,1105,900,781,1308,-0.402905199,910.952381,-0.142655515,0.894,0.734,0.723,0.294,0.932,0.882,0.014,0
182887-5-30-2017,12,8,1,0,0,0,0,0,0,0,0,0,0,1193.127887,2017,3,30,0.967741935,1365,3091,749.6666667,937,-0.199928851,898.8965517,-0.166014526,0.89,0.6,0.854,0.352,0.857,0.529,0.194,0.294
182887-5-8-2017,12,30,1,0,0,0,0,0,0,0,0,0,0,1193.127887,2017,2,8,0.258064516,365,1556.25,0,0,0,0,0,0,0,0,0,0,0,0,0
182888-5-10-2018,8,2,1,0,0,0,0,0,0,0,0,0,0,317.7521388,2018,5,10,0.322580645,1208,1197.75,664.3333333,0,0,221.4444444,2,0.169,0,0.361,1,0,1,0,1
182888-5-11-2018,14,1,1,0,0,0,0,0,0,0,0,0,0,317.7521388,2018,6,11,0.35483871,1207,1128.5,1067,0,0,320.1,2.333333333,0.237,0,0.403,1,0,1,0,1
182888-5-1-2018,8,30,1,0,0,0,0,0,0,0,0,0,0,317.7521388,2018,3,1,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182888-5-12-2018,10,1,1,0,0,0,0,0,0,0,0,0,0,317.7521388,2018,7,12,0.387096774,1377,1071.75,1119.333333,350,2.198095238,400.7272727,1.793254688,0.243,0,0.407,1,0.393,1,0.496,1
