ID,Hour_of_Day,Days since last checkin,Check Ins,Contacts Created,Images Uploaded,Notes Written,Checkin_w_images,Checkin_w_Contact,Checkin_w_Note,Checkin_w_I_C,Checkin_w_C_N,Checkin_w_I_N,Checkin_w_All,Distance,FundraisingYear,day of week,day of month,% of Campaign,Campaign Day Funds,Past 1-3 avg,Past 3-6 avg,Future 0-3 avg,Change in past week,Running average,last week change from running,Percentile of Running,Percentile of Running by Market,Percentile of Past 1-3,Percentile of Past 1-3 by Market,Percentile of Past 3-6,Percentile of Past 3-6 by Market,Percentile of Past Week Change,Percentile of Past Week Change by market
30266-5-8-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,2,8,0.258064516,,0,0,,0,0,0,0,0,0,0,0,0,0,0
30266-5-9-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,3,9,0.290322581,,721.6666667,0,,0,270.625,1.666666667,0,0,0,0,0,0,0,0
30266-5-10-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,4,10,0.322580645,,1061.666667,0,,0,353.8888889,2,0.875,0.772,0.962,1,0.613,0.058,0.998,1
30266-5-11-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,5,11,0.35483871,,1447.333333,0,,0,434.2,2.333333333,0.904,0.673,0.914,0.687,0.962,1,0.087,0
30266-5-12-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,6,12,0.387096774,,1213,721.6666667,,0.680831409,527.6363636,1.298931771,0.912,0.776,0.908,0.705,0.913,0.705,0.211,0.588
30266-5-13-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,7,13,0.419354839,,1405.666667,1061.666667,,0.324018838,616.8333333,1.278843556,0.894,0.734,0.723,0.294,0.932,0.882,0.014,0
30266-5-14-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,1,14,0.451612903,,1578.333333,1447.333333,,0.090511285,698.2307692,1.260475194,0.89,0.6,0.854,0.352,0.857,0.529,0.194,0.294
30266-5-15-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,2,15,0.483870968,,1550,1213,,0.277823578,746.7142857,1.075760474,0,0,0,0,0,0,0,0
30266-5-16-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,3,16,0.516129032,,1330,1405.666667,,-0.053829737,759.4666667,0.751228933,0.169,0,0.361,1,0,1,0,1
30266-5-17-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,4,17,0.548387097,,1205.333333,1578.333333,,-0.236325238,793.3125,0.51936763,0.237,0,0.403,1,0,1,0,1
30266-5-18-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,5,18,0.580645161,,1079,1550,,-0.303870968,805.3529412,0.33978526,0,0,0,0,0,0,0,0
30266-5-19-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,6,19,0.612903226,,1130.666667,1330,,-0.149874687,821.3333333,0.376623377,0.243,0,0.407,1,0.393,1,0.496,1
30266-5-20-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,7,20,0.64516129,,1248.333333,1205.333333,,0.035674779,865.1578947,0.442896541,0.361,0,0.434,1,0.406,1,0.563,1
30266-5-21-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,1,21,0.677419355,,1296,1079,,0.201112141,878.95,0.474486603,0.343,0,0.397,1,0.434,1,0.426,1
30266-5-22-2017,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,2,22,0.709677419,,1248.333333,1130.666667,,0.104068396,882.3333333,0.414809218,0.61,0,0.613,1,0.633,1,0.128,1
30266-5-23-2017,6,1,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,3,23,0.741935484,,901,1248.333333,,-0.27823765,870.0454545,0.035578078,0.332,0,0.264,1,0.53,1,0.123,1
30266-5-24-2017,6,2,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,4,24,0.774193548,,893.3333333,1296,,-0.310699588,880.826087,0.01419945,0.283,0,0.173,1,0.206,1,0.38,1
30266-5-25-2017,6,3,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,5,25,0.806451613,,815.3333333,1248.333333,,-0.346862483,873.9583333,-0.067079857,0.267,0,0.251,1,0.096,1,0.806,1
30266-5-26-2017,6,4,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,6,26,0.838709677,,880.3333333,901,,-0.022937477,871.28,0.010390843,0.243,0,0.158,1,0.172,1,0.442,1
30266-5-27-2017,6,5,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,7,27,0.870967742,,887,893.3333333,,-0.007089552,881.5384615,0.006195462,0.267,0,0.353,1,0.168,1,0.783,1
30266-5-28-2017,6,6,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,1,28,0.903225806,,1181.666667,815.3333333,,0.449304988,908.1481481,0.301182708,0.277,0,0.426,1,0.16,1,0.837,1
30266-5-30-2017,6,8,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,3,30,0.967741935,,792.3333333,887,,-0.106726794,872.3103448,-0.091684126,0,0,0,0,0,0,0,0
30266-5-31-2017,6,9,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2017,4,31,1,,467.6666667,1181.666667,,-0.604231312,864.1,-0.458781777,0,0,0,0,0,0,0,0
30266-5-8-2018,6,30,1,0,2,0,1,0,0,0,0,0,0,476.2128933,2018,3,8,0.258064516,,0,0,,0,0,0,0,0,0,1,0,1,0,1
